2014-04-24 11:26:26,256 | INFO  | Refreshing org.apache.activemq.xbean.XBeanBrokerFactory$1@1232784a: startup date [Thu Apr 24 11:26:26 KST 2014]; root of context hierarchy | org.apache.activemq.xbean.XBeanBrokerFactory$1 | main
2014-04-24 11:26:27,839 | INFO  | PListStore:[/root/workspace/HTCaaS_ext/activeMQ/data/localhost/tmp_storage ] started | org.apache.activemq.store.kahadb.plist.PListStore | main
2014-04-24 11:26:28,016 | INFO  | Using Persistence Adapter: KahaDBPersistenceAdapter[/root/workspace/HTCaaS_ext/activeMQ/data/kahadb] | org.apache.activemq.broker.BrokerService | main
2014-04-24 11:26:28,093 | INFO  | JMX consoles can connect to service:jmx:rmi:///jndi/rmi://localhost:2011/jmxrmi | org.apache.activemq.broker.jmx.ManagementContext | JMX connector
2014-04-24 11:26:28,276 | INFO  | ActiveMQ 5.6.0 JMS Message Broker (localhost) is starting | org.apache.activemq.broker.BrokerService | main
2014-04-24 11:26:28,276 | INFO  | For help or more information please see: http://activemq.apache.org/ | org.apache.activemq.broker.BrokerService | main
2014-04-24 11:26:28,477 | INFO  | Listening for connections at: tcp://htcaas-hieu.kisti.re.kr:61616 | org.apache.activemq.transport.TransportServerThreadSupport | main
2014-04-24 11:26:28,477 | INFO  | Connector openwire Started | org.apache.activemq.broker.TransportConnector | main
2014-04-24 11:26:28,480 | INFO  | ActiveMQ JMS Message Broker (localhost, ID:htcaas-hieu.kisti.re.kr-40896-1398306388291-0:1) started | org.apache.activemq.broker.BrokerService | main
2014-04-24 11:26:28,480 | WARN  | Store limit is 102400 mb, whilst the data directory: /root/workspace/HTCaaS_ext/activeMQ/data/kahadb only has 41922 mb of usable space | org.apache.activemq.broker.BrokerService | main
2014-04-24 11:26:28,480 | ERROR | Temporary Store limit is 51200 mb, whilst the temporary data directory: /root/workspace/HTCaaS_ext/activeMQ/data/localhost/tmp_storage only has 41922 mb of usable space | org.apache.activemq.broker.BrokerService | main
2014-04-24 11:26:28,581 | INFO  | jetty-7.6.1.v20120215 | org.eclipse.jetty.server.Server | main
2014-04-24 11:26:28,964 | INFO  | ActiveMQ WebConsole initialized. | org.apache.activemq.web.WebConsoleStarter | main
2014-04-24 11:26:28,964 | INFO  | started o.e.j.w.WebAppContext{/admin,file:/root/workspace/HTCaaS_ext/activeMQ/webapps/admin/} | org.eclipse.jetty.server.handler.ContextHandler | main
2014-04-24 11:26:29,108 | INFO  | Initializing Spring FrameworkServlet 'dispatcher' | /admin | main
2014-04-24 11:26:29,535 | INFO  | ActiveMQ Console at http://0.0.0.0:8161/admin | org.eclipse.jetty.webapp.WebAppContext | main
2014-04-24 11:26:29,661 | INFO  | started o.e.j.w.WebAppContext{/demo,file:/root/workspace/HTCaaS_ext/activeMQ/webapps/demo/} | org.eclipse.jetty.server.handler.ContextHandler | main
2014-04-24 11:26:29,675 | INFO  | ActiveMQ Web Demos at http://0.0.0.0:8161/demo | org.eclipse.jetty.webapp.WebAppContext | main
2014-04-24 11:26:29,803 | INFO  | started o.e.j.w.WebAppContext{/fileserver,file:/root/workspace/HTCaaS_ext/activeMQ/webapps/fileserver/} | org.eclipse.jetty.server.handler.ContextHandler | main
2014-04-24 11:26:29,823 | INFO  | RESTful file access application at http://0.0.0.0:8161/fileserver | org.eclipse.jetty.webapp.WebAppContext | main
